frame,brightness
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,9
89,31
90,88
91,98
92,129
93,129
94,193
95,193
96,204
97,204
98,255
99,255
100,255
101,255
102,255
103,255
104,255
105,255
106,255
107,255
108,255
109,255
110,255
111,255
112,255
113,255
114,255
115,255
116,255
117,255
118,255
119,255
120,255
121,255
122,255
123,255
124,255
125,255
126,255
127,255
128,255
129,255
130,255
131,255
132,255
133,255
134,255
135,255
136,255
137,255
138,255
139,255
140,255
141,255
142,255
143,255
144,255
145,255
146,255
147,255
148,255
149,255
150,255
151,255
152,255
153,255
154,255
155,255
156,255
157,255
158,255
159,255
160,255
161,255
162,255
163,255
164,255
165,255
166,255
167,255
168,255
169,255
170,255
171,255
172,255
173,255
174,255
175,255
176,255
177,255
178,255
179,255
180,255
181,255
182,255
183,255
184,255
185,255
186,255
187,255
188,255
189,255
190,255
191,255
192,255
193,255
194,255
195,255
196,255
197,255
198,255
199,255
200,255
201,255
202,255
203,255
204,255
205,255
206,255
207,255
208,255
209,255
210,255
211,255
212,255
213,255
214,255
215,255
216,255
217,255
218,255
219,255
220,255
221,255
222,255
223,255
224,255
225,255
226,255
227,255
228,255
229,255
230,255
231,255
232,255
233,255
234,255
235,255
236,255
237,255
238,255
239,255
240,255
241,255
242,255
243,255
244,255
245,255
246,255
247,255
248,255
249,255
250,255
251,255
252,255
253,255
254,255
255,255
256,255
257,255
258,255
259,255
260,255
261,255
262,255
263,255
264,255
265,255
266,255
267,255
268,255
269,255
270,255
271,255
272,255
273,255
274,255
275,255
276,255
277,255
278,255
279,255
280,255
281,255
282,255
283,255
284,255
285,255
286,255
287,255
288,255
289,255
290,255
291,255
292,255
293,255
294,255
295,255
296,255
297,255
298,255
299,255
300,255
301,255
302,255
303,255
304,255
305,255
306,255
307,255
308,255
309,255
310,255
311,255
312,255
313,255
314,255
315,255
316,255
317,255
318,255
319,255
320,255
321,255
322,255
323,255
324,255
325,255
326,255
327,255
328,254
329,254
330,253
331,248
332,245
333,241
334,235
335,235
336,221
337,221
338,218
339,217
340,210
341,206
342,204
343,204
344,190
345,190
346,187
347,183
348,181
349,181
350,175
351,172
352,170
353,165
354,160
355,158
356,158
357,152
358,152
359,149
360,149
361,142
362,142
363,142
364,139
365,138
366,137
367,133
368,133
369,132
370,130
371,129
372,129
373,123
374,123
375,123
376,122
377,120
378,120
379,117
380,117
381,112
382,112
383,114
384,112
385,111
386,109
387,105
388,105
389,105
390,105
391,103
392,102
393,97
394,97
395,96
396,91
397,87
398,88
399,88
400,88
401,82
402,82
403,79
404,79
405,77
406,77
407,76
408,73
409,68
410,70
411,68
412,66
413,64
414,65
415,64
416,64
417,58
418,58
419,54
420,52
421,52
422,50
423,50
424,46
425,45
426,43
427,46
428,44
429,38
430,34
431,39
432,31
433,34
434,34
435,29
436,29
437,27
438,27
439,22
440,22
441,22
442,20
443,19
444,17
445,16
446,16
447,12
448,15
449,11
450,11
451,11
452,11
453,11
454,11
455,12
456,9
457,11
458,11
459,9
460,9
461,10
462,10
463,9
464,3
465,5
466,5
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
